graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
69,32,9,23,17,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.8888888888888888,1,4,5,4
70,32,9,23,19,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.0,1,3,3,6
71,32,8,24,19,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,1.75,1,4,5,3
72,32,9,23,20,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.3333333333333335,1,5,3,6
73,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.1,1,3,1,9
74,32,10,22,17,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.7,1,4,5,5
75,32,8,24,20,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.875,1,3,3,5
76,32,8,24,21,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.5,1,2,4,4
77,32,10,22,16,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.8,1,5,2,8
78,32,10,22,19,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.3,1,5,4,6
79,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.2,1,2,8,2
80,32,8,24,20,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,1.875,1,3,3,5
81,32,9,23,20,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,1.5555555555555556,1,2,4,5
82,32,9,23,20,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.0,1,3,3,6
83,32,9,23,18,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,1.4444444444444444,1,3,6,3
84,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.7,1,3,5,5
85,32,9,23,18,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.4444444444444446,1,4,3,6
86,32,5,28,25,0.3125,2,0.010080645161290322,0,-1,3,0.09375,8,3,2.6,1,5,1,4
87,32,9,23,16,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,1.7777777777777777,1,4,5,4
88,32,7,25,22,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,2.2857142857142856,1,5,3,4
89,32,10,22,16,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.6,1,3,5,5
90,32,6,26,23,0.375,3,0.012096774193548387,1,-1,2,0.0,8,4,1.5,1,3,4,2
91,32,4,28,26,0.25,3,0.008064516129032258,1,-1,2,0.0,8,3,1.75,1,2,1,3
92,32,8,24,16,0.5,1,0.016129032258064516,1,-1,2,0.0,8,2,1.625,1,2,3,5
93,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.8,1,3,5,5
