n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
3,8,5,3,32,34,52,27,45,51,5,1.1851851851851851,7,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,2,29,31,49,23,39,43,6,1.2608695652173914,8,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,39,39,61,27,41,49,12,1.4444444444444444,9,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,3,38,46,63,23,41,44,15,1.6521739130434783,10,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,4,63,76,103,24,36,45,39,2.625,11,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,39,41,62,15,27,29,24,2.6,12,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,4,27,30,43,20,30,38,7,1.35,13,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,40,44,64,24,40,45,16,1.6666666666666667,14,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,36,44,59,26,39,47,10,1.3846153846153846,15,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,35,36,57,26,42,48,9,1.3461538461538463,16,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,4,45,46,72,30,50,56,15,1.5,17,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,2,34,36,54,26,44,50,8,1.3076923076923077,18,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,3,26,28,42,19,30,35,7,1.368421052631579,19,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,3,27,34,45,24,41,46,3,1.125,20,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,28,37,47,29,37,49,-1,0.9655172413793104,21,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,3,42,48,69,16,28,31,26,2.625,22,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,29,29,46,24,36,45,5,1.2083333333333333,23,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,34,39,54,19,30,36,15,1.7894736842105263,24,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,3,28,37,47,21,30,38,7,1.3333333333333333,25,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,2,2,16,19,27,9,18,18,7,1.7777777777777777,26,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,2,37,43,60,25,41,46,12,1.48,27,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,34,38,55,14,25,27,20,2.4285714285714284,28,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,37,43,61,22,29,39,15,1.6818181818181819,29,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,18,19,29,11,20,21,7,1.6363636363636365,30,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,31,35,51,23,34,41,8,1.3478260869565217,31,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,31,34,50,20,18,32,11,1.55,32,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,3,45,53,75,26,38,47,19,1.7307692307692308,33,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,3,34,39,55,26,44,50,8,1.3076923076923077,34,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,37,47,62,23,41,44,14,1.608695652173913,35,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
