n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
7,128,1561,39,89902,89338,114592,9914,16377,18141,79988,9.06818640306637,9,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1657,42,95010,94471,121522,9844,16334,18034,85166,9.65156440471353,10,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1681,47,96430,95820,123016,9728,16173,17818,86702,9.912623355263158,11,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1695,46,97296,96743,124420,9842,16261,17990,87454,9.885795570006096,12,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1645,39,95860,95328,122286,9834,16332,18004,86026,9.747813707545252,13,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1660,43,96142,95610,122722,9868,16365,18072,86274,9.74280502634779,14,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1655,43,95382,94844,121818,9906,16385,18100,85476,9.62870987280436,15,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1630,44,93418,93051,119243,9860,16278,18020,83558,9.474442190669372,16,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1640,45,95192,94643,121469,9884,16297,18049,85308,9.630918656414408,17,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1627,45,93608,93058,119327,9893,16401,18106,83715,9.462043869402608,18,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1674,43,97158,96750,124015,9870,16317,18053,87288,9.843768996960486,19,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1658,53,95996,95457,122576,9853,16293,17985,86143,9.742819445854057,20,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
